Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away,Game_IDs,game_id,date,team_id,points,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,min
2022-10-29,5,11,233.5,-10.0,390,-490,233,7,1,2,11131,11131.0,2022-10-29,5.0,120.0,43.0,102.0,42.2,24.0,31.0,77.4,10.0,31.0,32.3,15.0,40.0,55.0,32.0,14.0,2.0,10.0,2.0,7.0,240.0
2022-10-29,5,11,233.5,-10.0,390,-490,233,7,1,2,11131,11131.0,2022-10-29,11.0,113.0,44.0,100.0,77.4,12.0,16.0,75.0,13.0,44.0,29.5,10.0,39.0,49.0,31.0,31.0,8.0,10.0,6.0,-7.0,240.0
2022-10-29,4,15,240.0,11.0,-580,440,241,-9,2,1,11132,11132.0,2022-10-29,4.0,116.0,41.0,82.0,50.0,20.0,26.0,76.9,14.0,39.0,35.9,6.0,28.0,34.0,29.0,20.0,6.0,9.0,9.0,-9.0,240.0
2022-10-29,4,15,240.0,11.0,-580,440,241,-9,2,1,11132,11132.0,2022-10-29,15.0,125.0,40.0,94.0,76.9,22.0,26.0,84.6,23.0,46.0,50.0,17.0,36.0,53.0,31.0,25.0,7.0,12.0,1.0,9.0,240.0
2022-10-29,6,27,221.5,-2.5,115,-135,223,-5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-29,21,1,228.5,5.5,-210,180,238,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-29,8,25,218.5,10.5,-500,400,228,-6,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-29,40,19,224.5,-3.5,135,-155,247,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-30,16,23,226.0,2.0,-125,105,203,-21,3,2,11137,11137.0,2022-10-30,16.0,91.0,36.0,86.0,41.9,8.0,13.0,61.5,11.0,39.0,28.2,8.0,31.0,39.0,24.0,15.0,3.0,15.0,6.0,-21.0,240.0
2022-10-30,16,23,226.0,2.0,-125,105,203,-21,3,2,11137,11137.0,2022-10-30,23.0,112.0,46.0,93.0,61.5,5.0,8.0,62.5,15.0,36.0,41.7,12.0,38.0,50.0,32.0,15.0,9.0,13.0,1.0,21.0,240.0
2022-10-30,2,41,222.0,9.5,-425,340,206,18,2,2,11138,11138.0,2022-10-30,2.0,112.0,36.0,79.0,45.6,19.0,20.0,95.0,21.0,47.0,44.7,4.0,43.0,47.0,29.0,15.0,4.0,14.0,5.0,18.0,240.0
2022-10-30,2,41,222.0,9.5,-425,340,206,18,2,2,11138,11138.0,2022-10-30,41.0,94.0,38.0,98.0,95.0,11.0,16.0,68.8,7.0,32.0,21.9,15.0,36.0,51.0,22.0,20.0,5.0,10.0,6.0,-18.0,240.0
2022-10-30,10,11,231.5,-7.5,230,-275,242,14,2,1,11140,11140.0,2022-10-30,10.0,128.0,40.0,83.0,48.2,34.0,38.0,89.5,14.0,33.0,42.4,12.0,35.0,47.0,24.0,25.0,4.0,16.0,3.0,14.0,240.0
2022-10-30,10,11,231.5,-7.5,230,-275,242,14,2,1,11140,11140.0,2022-10-30,11.0,114.0,39.0,92.0,89.5,24.0,25.0,96.0,12.0,39.0,30.8,13.0,29.0,42.0,23.0,24.0,8.0,15.0,4.0,-14.0,240.0
2022-10-30,7,24,220.0,3.5,-165,140,229,13,2,2,11139,11139.0,2022-10-30,7.0,121.0,41.0,89.0,46.1,16.0,19.0,84.2,23.0,50.0,46.0,10.0,33.0,43.0,33.0,22.0,3.0,14.0,5.0,13.0,240.0
2022-10-30,7,24,220.0,3.5,-165,140,229,13,2,2,11139,11139.0,2022-10-30,24.0,108.0,45.0,92.0,84.2,8.0,16.0,50.0,10.0,27.0,37.0,12.0,33.0,45.0,26.0,25.0,9.0,14.0,2.0,-13.0,240.0
2022-10-30,31,22,237.5,-6.0,195,-230,205,9,2,2,11141,11141.0,2022-10-30,31.0,107.0,36.0,86.0,41.9,19.0,25.0,76.0,16.0,40.0,40.0,14.0,38.0,52.0,27.0,21.0,6.0,20.0,7.0,9.0,240.0
2022-10-30,31,22,237.5,-6.0,195,-230,205,9,2,2,11141,11141.0,2022-10-30,22.0,98.0,40.0,99.0,76.0,14.0,20.0,70.0,4.0,29.0,13.8,16.0,29.0,45.0,21.0,23.0,11.0,11.0,7.0,-9.0,240.0
2022-10-30,8,26,211.5,9.0,-390,320,219,9,1,2,11142,11142.0,2022-10-30,8.0,114.0,41.0,83.0,49.4,21.0,28.0,75.0,11.0,35.0,31.4,5.0,32.0,37.0,15.0,22.0,10.0,4.0,1.0,9.0,240.0
2022-10-30,8,26,211.5,9.0,-390,320,219,9,1,2,11142,11142.0,2022-10-30,26.0,105.0,37.0,81.0,75.0,20.0,27.0,74.1,11.0,29.0,37.9,11.0,36.0,47.0,20.0,23.0,2.0,12.0,5.0,-9.0,240.0
2022-10-30,28,14,227.5,12.5,-850,600,233,15,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-30,17,9,229.5,-2.5,110,-140,231,11,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-31,41,27,216.0,-2.5,125,-145,229,-7,1,2,11146,11146.0,2022-10-31,41.0,111.0,38.0,81.0,46.9,25.0,26.0,96.2,10.0,25.0,40.0,9.0,32.0,41.0,22.0,18.0,8.0,16.0,4.0,-7.0,240.0
2022-10-31,41,27,216.0,-2.5,125,-145,229,-7,1,2,11146,11146.0,2022-10-31,27.0,118.0,46.0,83.0,96.2,14.0,20.0,70.0,12.0,30.0,40.0,4.0,33.0,37.0,26.0,20.0,14.0,14.0,3.0,7.0,240.0
2022-10-31,5,30,231.5,-3.5,140,-165,223,-7,2,2,11145,11145.0,2022-10-31,5.0,108.0,43.0,84.0,51.2,8.0,14.0,57.1,14.0,29.0,48.3,6.0,32.0,38.0,31.0,26.0,11.0,21.0,6.0,-7.0,240.0
2022-10-31,5,30,231.5,-3.5,140,-165,223,-7,2,2,11145,11145.0,2022-10-31,30.0,115.0,37.0,85.0,57.1,24.0,28.0,85.7,17.0,44.0,38.6,10.0,32.0,42.0,26.0,19.0,8.0,19.0,4.0,7.0,240.0
2022-10-31,4,15,236.5,7.5,-315,245,225,7,2,2,11147,11147.0,2022-10-31,4.0,116.0,43.0,80.0,53.8,19.0,20.0,95.0,11.0,30.0,36.7,6.0,33.0,39.0,26.0,18.0,11.0,20.0,9.0,7.0,240.0
2022-10-31,4,15,236.5,7.5,-315,245,225,7,2,2,11147,11147.0,2022-10-31,15.0,109.0,41.0,87.0,95.0,16.0,23.0,69.6,11.0,39.0,28.2,10.0,28.0,38.0,23.0,24.0,11.0,24.0,5.0,-7.0,240.0
2022-10-31,38,1,222.5,1.5,-130,100,248,30,3,2,11148,11148.0,2022-10-31,38.0,139.0,46.0,92.0,50.0,33.0,40.0,82.5,14.0,34.0,41.2,12.0,32.0,44.0,25.0,22.0,13.0,7.0,9.0,30.0,240.0
2022-10-31,38,1,222.5,1.5,-130,100,248,30,3,2,11148,11148.0,2022-10-31,1.0,109.0,39.0,84.0,82.5,20.0,25.0,80.0,11.0,29.0,37.9,7.0,30.0,37.0,28.0,27.0,1.0,18.0,4.0,-30.0,240.0
2022-10-31,21,10,222.5,13.5,-875,575,218,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-31,40,19,231.5,-2.5,120,-140,226,16,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-31,16,14,225.5,8.5,-380,290,188,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-01,4,6,232.0,2.0,-135,115,207,-9,1,3,11152,11152.0,2022-11-01,4.0,99.0,36.0,74.0,48.6,15.0,19.0,78.9,12.0,32.0,37.5,4.0,34.0,38.0,27.0,20.0,4.0,18.0,7.0,-9.0,240.0
2022-11-01,4,6,232.0,2.0,-135,115,207,-9,1,3,11152,11152.0,2022-11-01,6.0,108.0,39.0,89.0,78.9,18.0,21.0,85.7,12.0,30.0,40.0,11.0,33.0,44.0,20.0,13.0,8.0,10.0,5.0,9.0,240.0
2022-11-01,20,11,225.5,1.5,-120,-110,225,7,3,2,11153,11153.0,2022-11-01,20.0,116.0,40.0,88.0,45.5,20.0,20.0,100.0,16.0,42.0,38.1,9.0,30.0,39.0,32.0,16.0,7.0,15.0,3.0,7.0,240.0
2022-11-01,20,11,225.5,1.5,-120,-110,225,7,3,2,11153,11153.0,2022-11-01,11.0,109.0,39.0,84.0,100.0,13.0,17.0,76.5,18.0,49.0,36.7,10.0,31.0,41.0,31.0,22.0,8.0,20.0,5.0,-7.0,240.0
2022-11-01,25,26,217.5,4.5,-175,140,224,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-01,28,22,227.5,4.0,-170,145,223,9,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-02,27,41,217.0,5.5,-215,185,232,-10,2,2,11157,11157.0,2022-11-02,27.0,111.0,39.0,84.0,46.4,14.0,20.0,70.0,19.0,36.0,52.8,6.0,26.0,32.0,25.0,25.0,3.0,8.0,1.0,-10.0,240.0
2022-11-02,27,41,217.0,5.5,-215,185,232,-10,2,2,11157,11157.0,2022-11-02,41.0,121.0,45.0,78.0,70.0,26.0,32.0,81.3,5.0,21.0,23.8,7.0,36.0,43.0,27.0,18.0,4.0,8.0,9.0,10.0,240.0
2022-11-02,24,1,233.5,2.5,-140,110,211,-13,3,2,11159,11159.0,2022-11-02,24.0,99.0,37.0,90.0,41.1,15.0,20.0,75.0,10.0,36.0,27.8,12.0,40.0,52.0,23.0,19.0,3.0,17.0,9.0,-13.0,240.0
2022-11-02,24,1,233.5,2.5,-140,110,211,-13,3,2,11159,11159.0,2022-11-02,1.0,112.0,44.0,107.0,75.0,12.0,16.0,75.0,12.0,34.0,35.3,17.0,34.0,51.0,28.0,18.0,11.0,9.0,4.0,13.0,240.0
2022-11-02,20,30,220.5,5.0,-195,165,217,3,1,2,11158,11158.0,2022-11-02,20.0,110.0,44.0,89.0,49.4,11.0,13.0,84.6,11.0,34.0,32.4,9.0,37.0,46.0,27.0,20.0,5.0,11.0,5.0,3.0,240.0
2022-11-02,20,30,220.5,5.0,-195,165,217,3,1,2,11158,11158.0,2022-11-02,30.0,107.0,41.0,86.0,84.6,12.0,14.0,85.7,13.0,36.0,36.1,4.0,35.0,39.0,29.0,18.0,4.0,12.0,3.0,-3.0,240.0
2022-11-02,7,2,220.5,-1.5,100,-130,227,1,3,3,11156,11156.0,2022-11-02,7.0,114.0,42.0,100.0,42.0,19.0,24.0,79.2,11.0,39.0,28.2,9.0,42.0,51.0,24.0,23.0,6.0,11.0,4.0,1.0,240.0
2022-11-02,7,2,220.5,-1.5,100,-130,227,1,3,3,11156,11156.0,2022-11-02,2.0,113.0,38.0,93.0,79.2,26.0,27.0,96.3,11.0,41.0,26.8,8.0,44.0,52.0,26.0,24.0,5.0,14.0,9.0,-1.0,240.0
2022-11-02,14,16,222.5,-5.5,175,-215,210,-8,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-02,21,10,223.0,11.5,-645,480,207,25,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-02,31,38,223.5,-7.5,240,-305,243,-43,3,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-02,6,5,224.5,6.5,-300,235,194,18,1,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-02,8,40,222.0,6.5,-255,215,203,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-02,29,19,228.5,-5.5,185,-230,217,-5,5,2,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-02,17,23,230.5,-2.0,-105,-125,237,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-03,26,11,226.5,-9.5,330,-440,259,1,2,2,11167,11167.0,2022-11-03,26.0,130.0,42.0,78.0,53.8,33.0,46.0,71.7,13.0,30.0,43.3,11.0,35.0,46.0,20.0,22.0,9.0,19.0,6.0,1.0,240.0
