id,player_id,name,team_id
486,486,Marcus Smart,19
11,11,Tony Allen,19
564,564,Delon Wright,20
446,446,Josh Richardson,20
138,138,Cheick Diallo,20
724,724,Bam Adebayo,20
753,753,Thomas Bryant,20
2242,2242,Caleb Martin,20
1018,1018,Duncan Robinson,20
1815,1815,Haywood Highsmith,20
1866,1866,Tyler Herro,20
2597,2597,R.J. Hampton,20
2798,2798,Justin Champagnie,20
3360,3360,Dru Smith,20
3453,3453,Nikola Jovic,20
3482,3482,Orlando Robinson,20
3503,3503,Alondes Williams,20
3424,3424,Jamal Cain,20
3493,3493,Cole Swider,20
4046,4046,Jaime Jr. Jaquez,20
4085,4085,Jamie Jr. Jaquez,20
327,327,Kyle Lowry,27
326,326,Kevin Love,20
86,86,Jimmy Butler,20
519,519,Karl-Anthony Towns,22
806,806,Justin Jackson,22
997,997,Jordan McLaughlin,22
1845,1845,Nickeil Alexander-Walker,22
2146,2146,Naz Reid,22
2584,2584,Anthony Edwards,22
2621,2621,Jaden McDaniels,22
3154,3154,Daishen Nix,22
3195,3195,Matt Ryan,23
2807,2807,Luka Garza,22
3474,3474,Wendell Moore Jr.,22
3470,3470,Josh Minott,22
3456,3456,Trevor Keels,22
3465,3465,Tyrese Martin,22
4001,4001,Leonard Miller,22
114,114,Mike Conley,22
192,192,Rudy Gobert,22
540,540,T.J. Warren,22
18,18,Kyle Anderson,22
385,385,Larry Nance Jr.,23
260,260,Brandon Ingram,23
1071,1071,Kaiser Gates,23
1902,1902,Zion Williamson,23
2611,2611,Kira Lewis Jr.,23
2668,2668,Naji Marshall,23
2846,2846,Jeremiah Robinson-Earl,25
2822,2822,Herbert Jones,23
2837,2837,Trey Murphy III,23
3462,3462,E.J. Liddell,23
2990,2990,Jalen Crutcher,23
2941,2941,Jose Alvarado,23
3406,3406,Dyson Daniels,23
3380,3380,Malcolm Hill,23
3421,3421,Izaiah Brockington,23
3486,3486,Dereon Seabron,23
4002,4002,Jordan Hawkins,23
4004,4004,Tevian Jones,23
4005,4005,Liam Robbins,23
4048,4048,Landers II Nolley,23
525,525,Jonas Valanciunas,23
347,347,CJ McCollum,23
571,571,Cody Zeller,23
609,609,Ryan Arcidiacono,24
732,732,O.G. Anunoby,24
978,978,Isaiah Hartenstein,24
791,791,Josh Hart,24
946,946,Jalen Brunson,24
962,962,Donte DiVincenzo,24
1020,1020,Mitchell Robinson,24
2580,2580,Mamadi Diakite,24
1948,1948,DaQuan Jeffries,24
1846,1846,RJ Barrett,24
1890,1890,Isaiah Roby,24
2111,2111,Charlie Brown Jr.,24
2561,2561,Precious Achiuwa,24
2636,2636,Immanuel Quickley,24
2607,2607,Nathan Knight,24
2832,2832,Miles McBride,24
2849,2849,Jericho Sims,24
4006,4006,Jaylen Martin,24
4007,4007,Jacob Toppin,24
4083,4083,D. Skapintsev,24
441,441,Julius Randle,24
972,972,Shai Gilgeous-Alexander,25
1044,1044,Kenrich Williams,25
2040,2040,Luguentz Dort,25
2604,2604,Isaiah Joe,25
3404,3404,Lindy Waters III,25
2808,2808,Josh Giddey,25
2863,2863,Aaron Wiggins,25
3399,3399,Olivier Sarr,25
3448,3448,Chet Holmgren,25
3504,3504,Jalen Williams,25
3505,3505,Jaylin Williams,25
3432,3432,Ousmane Dieng,25
4008,4008,Keyontae Johnson,25
4009,4009,Cason Wallace,25
4084,4084,A. Flagler,25
417,417,Cameron Payne,27
431,431,Bobby Portis,21
115,115,Pat Connaughton,21
46,46,Malik Beasley,21
2034,2034,Lindell Wigginton,21
3405,3405,MarJon Beauchamp,21
3497,3497,TyTy Washington Jr.,21
3484,3484,Ryan Rollins,21
3443,3443,A.J. Green,21
3996,3996,Jazian Gortman,21
3997,3997,Chris Livingston,21
3998,3998,Omari Moore,21
3999,3999,Drew Timme,21
4047,4047,Andre Jr. Jackson,21
323,323,Brook Lopez,21
325,325,Robin Lopez,21
53,53,Patrick Beverley,27
319,319,Damian Lillard,21
121,121,Jae Crowder,21
361,361,Khris Middleton,21
20,20,Giannis Antetokounmpo,21
2408,2408,Thanasis Antetokounmpo,21
407,407,Kelly Oubre Jr.,27
818,818,Furkan Korkmaz,27
249,249,Danuel House Jr.,27
899,899,D.J. Wilson,26
932,932,Mo Bamba,27
998,998,De'Anthony Melton,27
2619,2619,Tyrese Maxey,27
2638,2638,Paul Reed,27
2878,2878,Jeff Dowtin,27
2823,2823,Kai Jones,27
2804,2804,David Duke Jr.,27
2917,2917,Javonte Smart,27
4012,4012,Terquavion Smith,27
4049,4049,Ricky IV Council,27
203,203,Danny Green,27
222,222,Tobias Harris,27
159,159,Joel Embiid,27
331,331,Trey Lyles,30
463,463,Domantas Sabonis,30
776,776,De'Aaron Fox,30
842,842,Malik Monk,30
980,980,Kevin Huerter,30
947,947,Deonte Burton,30
1934,1934,Juan Toscano-Anderson,30
2605,2605,Mason Jones,30
2588,2588,Jordan Ford,30
2803,2803,Chris Duarte,30
2805,2805,Kessler Edwards,30
2834,2834,Davion Mitchell,30
3475,3475,Keegan Murray,30
3436,3436,Keon Ellis,30
4020,4020,Colby Jones,30
4021,4021,Jalen Slawson,30
4022,4022,Sasha Vezenkov,30
353,353,JaVale McGee,30
36,36,Harrison Barnes,30
303,303,Jeremy Lamb,30
313,313,Alex Len,30
779,779,Markelle Fultz,26
801,801,Jonathan Isaac,26
950,950,Wendell Carter Jr.,26
1037,1037,Moritz Wagner,26
1848,1848,Goga Bitadze,26
1883,1883,Chuma Okeke,26
1892,1892,Admiral Schofield,26
2563,2563,Cole Anthony,26
2671,2671,Trevelin Queen,26
2677,2677,Kevon Harris,26
2858,2858,Franz Wagner,26
2852,2852,Jalen Suggs,26
2833,2833,Mac McClung,26
3414,3414,Paolo Banchero,26
3449,3449,Caleb Houstan,26
3478,3478,Daeqwon Plowden,26
4010,4010,Anthony Black,26
4011,4011,Jett Howard,26
220,220,Gary Harris,26
258,258,Joe Ingles,26
71,71,Malcolm Brogdon,29
1023,1023,Anfernee Simons,29
930,930,Deandre Ayton,29
1045,1045,Robert Williams III,29
2160,2160,Moses Brown,29
1896,1896,Matisse Thybulle,29
2594,2594,Ashton Hagans,29
