Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away
11/16/22,1,2,235.5,0.5,-115,-115,227,-25,2,2
11/16/22,21,7,217.5,2.5,-135,105,211,15,2,3
11/16/22,23,6,226.5,1.5,-125,105,234,14,1,3
11/16/22,8,14,213.5,6.5,-255,205,193,-9,1,2
11/16/22,28,11,227,-2.5,120,-140,249,11,2,2
11/16/22,9,24,226.5,2,-125,105,209,-3,3,1
11/17/22,30,31,237,7,-275,230,242,18,2,2
11/17/22,29,4,220.5,3,-150,130,216,-2,2,2
11/17/22,16,10,219,10.5,-560,430,187,5,2,3
11/18/22,41,20,216.5,7.5,-305,255,213,1,2,2
11/18/22,7,5,217.5,11.5,-690,470,254,10,2,2
11/18/22,27,21,215.5,1.5,-130,100,212,8,5,2
11/18/22,19,25,230,6.5,-230,195,231,11,3,2
11/18/22,14,15,236,-6,195,-230,190,-8,2,2
11/18/22,6,26,221,8.5,-350,290,215,-1,2,2
11/18/22,8,9,211.5,9.5,-410,310,226,28,2,2
11/18/22,23,2,234.5,-4.5,165,-205,226,-8,2,2
11/18/22,40,28,232.5,5.5,-185,150,267,1,3,2
11/18/22,11,24,235.5,6.5,-255,205,212,10,2,2
11/18/22,17,10,226,6.5,-250,200,249,7,5,1
11/19/22,1,38,225.5,5.5,-195,160,246,2,3,3
11/19/22,15,26,228.5,6.5,-240,195,227,1,1,1
11/19/22,27,22,218.5,-3.5,135,-165,221,-3,1,3
11/19/22,29,40,228,4,-175,150,231,-5,2,1
11/19/22,16,31,221,9,-360,280,216,22,2,2
11/20/22,28,24,226.5,6,-230,195,211,21,2,2
11/20/22,41,5,220.5,4.5,-195,160,208,4,2,2
11/20/22,30,10,233.5,10.5,-540,390,266,8,3,2
11/20/22,4,19,223.5,7.5,-300,250,242,12,3,2
11/20/22,7,20,213.5,7,-290,230,200,26,2,2
11/20/22,14,11,232.5,-10.5,380,-520,247,-7,2,2
11/20/22,8,9,217,10,-520,410,195,-1,2,2
11/20/22,17,31,228.5,6.5,-230,185,215,31,2,1
11/21/22,15,26,226,7,-295,245,225,21,2,2
11/21/22,7,1,227.5,3.5,-155,135,216,12,1,2
11/21/22,6,2,228.5,-4.5,150,-185,228,14,3,3
11/21/22,25,24,227.5,1.5,-125,105,248,-10,3,1
11/21/22,21,29,214.5,9.5,-490,360,230,8,3,2
11/21/22,23,11,225.5,10.5,-570,410,211,45,3,1
11/21/22,22,20,221.5,8.5,-400,300,206,4,2,1
11/21/22,16,40,222.5,2.5,-135,105,235,7,2,2
11/22/22,27,4,217,-7.5,245,-315,221,9,3,2
11/22/22,19,30,237.5,2.5,-145,115,222,-4,2,2
11/22/22,9,10,227.5,12,-645,480,218,-2,2,2
11/22/22,28,17,226.5,9.5,-425,320,220,10,2,2
11/23/22,5,27,215.5,4,-170,145,208,6,3,1
11/23/22,7,29,213.5,6.5,-280,220,210,18,2,2
11/23/22,15,22,231.5,-3.5,140,-175,216,-14,2,2
11/23/22,38,4,221.5,-1.5,100,-130,210,-14,4,1
11/23/22,1,30,241.5,4.5,-190,160,221,9,2,1
11/23/22,20,41,210.5,4.5,-185,150,218,8,2,3
11/23/22,2,8,221.5,5.5,-230,185,237,13,2,3
11/23/22,21,6,231.5,7.5,-360,280,231,-5,2,2
11/23/22,25,9,230,1,-110,-110,257,-5,2,1
11/23/22,31,23,227,-5.5,185,-215,239,-19,3,2
11/23/22,40,10,234,11.5,-700,510,241,-9,2,1
11/23/22,11,16,223,10,-475,380,231,17,2,2
11/25/22,5,22,228,-6.5,200,-240,218,2,2,2
11/25/22,26,27,217.5,0.5,-120,-110,206,-8,4,2
11/25/22,24,29,216.5,4.5,-185,150,261,-3,4,2
11/25/22,21,7,215.5,4,-170,145,219,15,2,2
11/25/22,19,23,227,2.5,-130,110,243,21,3,2
11/25/22,14,1,232.5,-7,240,-285,250,6,5,2
11/25/22,15,4,233.5,-4,145,-170,245,11,2,2
11/25/22,31,17,235,-4,155,-180,199,-11,2,3
11/25/22,2,30,239,7.5,-295,245,226,18,2,2
11/25/22,20,41,214.5,2.5,-145,115,217,3,2,2
11/25/22,25,6,232.5,-3,125,-145,242,4,2,2
11/25/22,28,10,222.5,11.5,-775,520,210,6,3,2
11/25/22,11,40,239.5,8,-325,270,247,11,2,2
